# 3D Systems, Inc.
# New Model
-0.1386890 0.1768915 0.8727654
-0.1387100 0.1772372 0.8727119
-0.1386964 0.1776757 0.8726917
-0.1379076 0.1833445 0.8736175
-0.1379495 0.1839460 0.8737179
-0.1379258 0.1793556 0.8729996
-0.1379499 0.1799335 0.8730347
-0.1379821 0.1805165 0.8730977
-0.1380169 0.1810988 0.8731648
-0.1380483 0.1816878 0.8732364
-0.1380851 0.1822783 0.8733144
-0.1372102 0.1899978 0.8753207
-0.1372561 0.1905969 0.8754361
-0.1373003 0.1911967 0.8755569
-0.1373476 0.1917981 0.8756773
-0.1381389 0.1779195 0.8728591
-0.1381344 0.1784435 0.8728548
-0.1372020 0.1871611 0.8747057
-0.1372514 0.1877635 0.8748203
-0.1372978 0.1883648 0.8749285
-0.1373448 0.1889652 0.8750413
-0.1372531 0.1849338 0.8741905
-0.1373036 0.1855335 0.8743078
-0.1373483 0.1861371 0.8744207
-0.1372657 0.1815021 0.8735270
-0.1373115 0.1820972 0.8736004
-0.1373617 0.1826996 0.8736922
-0.1374087 0.1833055 0.8737898
-0.1374516 0.1839105 0.8739029
-0.1366078 0.1921844 0.8760118
-0.1376374 0.1748403 0.8736647
-0.1374595 0.1787405 0.8731398
-0.1374739 0.1793116 0.8731586
-0.1374908 0.1798851 0.8731860
-0.1375169 0.1804681 0.8732438
-0.1366560 0.1899530 0.8754883
-0.1367026 0.1905555 0.8756039
-0.1367482 0.1911568 0.8757258
-0.1377803 0.1765482 0.8731084
-0.1377572 0.1769609 0.8730437
-0.1377326 0.1774021 0.8729969
-0.1377177 0.1778856 0.8729805
-0.1366454 0.1871133 0.8748811
-0.1366952 0.1877152 0.8749961
-0.1367409 0.1883162 0.8751076
-0.1367836 0.1889180 0.8752163
-0.1367273 0.1848928 0.8743766
-0.1367740 0.1854942 0.8744918
-0.1368152 0.1860983 0.8746078
-0.1367885 0.1814544 0.8736918
-0.1368328 0.1820547 0.8737606
-0.1368819 0.1826619 0.8738522
-0.1369336 0.1832708 0.8739678
-0.1369689 0.1838826 0.8740798
-0.1360744 0.1921498 0.8761667
-0.1371897 0.1749038 0.8737850
-0.1370097 0.1786964 0.8733077
-0.1370233 0.1792649 0.8733187
-0.1370318 0.1798397 0.8733576
-0.1370504 0.1804201 0.8734116
-0.1360972 0.1899095 0.8756497
-0.1361417 0.1905125 0.8757697
-0.1361853 0.1911139 0.8758928
-0.1373260 0.1773800 0.8731677
-0.1373136 0.1778489 0.8731556
-0.1360927 0.1870703 0.8750541
-0.1361381 0.1876710 0.8751645
-0.1361769 0.1882711 0.8752724
-0.1362129 0.1888702 0.8753853
-0.1360681 0.1830306 0.8742794
-0.1361151 0.1836463 0.8743645
-0.1361580 0.1842601 0.8744610
-0.1362101 0.1848632 0.8745684
-0.1362507 0.1854661 0.8746855
-0.1362819 0.1860729 0.8747961
-0.1362965 0.1808085 0.8738200
-0.1363394 0.1814141 0.8738868
-0.1363810 0.1820178 0.8739623
-0.1355264 0.1921171 0.8763169
-0.1367502 0.1754018 0.8738570
-0.1367124 0.1757982 0.8737286
-0.1366204 0.1770623 0.8735574
-0.1365890 0.1775475 0.8735136
-0.1365843 0.1780845 0.8735055
-0.1365876 0.1786409 0.8735095
-0.1365928 0.1792063 0.8735194
-0.1365962 0.1797809 0.8735669
-0.1354869 0.1892618 0.8757033
-0.1355294 0.1898675 0.8758111
-0.1355690 0.1904724 0.8759283
-0.1356077 0.1910728 0.8760506
-0.1354659 0.1858131 0.8750557
-0.1355079 0.1864259 0.8751451
-0.1355438 0.1870369 0.8752345
-0.1355815 0.1876358 0.8753399
-0.1356111 0.1882343 0.8754451
-0.1354589 0.1811494 0.8742886
-0.1354987 0.1817661 0.8743444
-0.1355429 0.1823820 0.8744057
-0.1355923 0.1830004 0.8744898
-0.1356265 0.1836265 0.8745681
-0.1356608 0.1842466 0.8746643
-0.1357140 0.1848510 0.8747811
-0.1358109 0.1789694 0.8739066
-0.1358283 0.1795624 0.8739402
-0.1358536 0.1801635 0.8739869
-0.1348831 0.1908802 0.8761922
-0.1349243 0.1914885 0.8763217
-0.1349615 0.1920847 0.8764548
-0.1363538 0.1758594 0.8739068
-0.1363234 0.1762662 0.8738198
-0.1362908 0.1765890 0.8737901
-0.1362555 0.1770466 0.8737589
-0.1362240 0.1775191 0.8737206
-0.1362101 0.1780416 0.8737094
-0.1348258 0.1880000 0.8756498
-0.1348730 0.1886130 0.8757498
-0.1349146 0.1892217 0.8758546
